NumTree,QuestionId,Number_bridges_Of_Question_i,Gender,Age,Number_of_bridges,Delta_Learning_Minutes,depth,Accuracy,correct_model
1,12,1,Female,28,2,1.1,1,60,1
1,1,1,Male,28,2,1.4,1,60,1
1,2,1,Male,28,2,1.4,1,60,1
1,3,1,Male,28,2,1.4,1,60,1
1,4,1,Male,28,2,1.4,1,60,1
1,5,1,Male,28,2,1.4,1,60,1
1,6,1,Male,28,2,1.4,1,60,1
1,7,1,Male,28,2,1.4,1,60,1
1,8,1,Male,28,2,1.4,1,60,1
1,9,1,Male,28,2,1.4,1,60,1
1,10,1,Male,28,2,1.4,1,60,1
1,11,1,Male,28,2,1.4,1,60,1
1,12,1,Male,28,2,1.4,1,60,1
1,1,1,Male,43,2,1.216666667,1,60,1
1,2,1,Male,43,2,1.216666667,1,60,1
1,3,1,Male,43,2,1.216666667,1,60,1
1,4,1,Male,43,2,1.216666667,1,60,1
1,5,1,Male,43,2,1.216666667,1,60,1
1,6,1,Male,43,2,1.216666667,1,60,1
1,7,1,Male,43,2,1.216666667,1,60,1
1,8,1,Male,43,2,1.216666667,1,60,1
1,9,1,Male,43,2,1.216666667,1,60,1
1,10,1,Male,43,2,1.216666667,1,60,1
1,11,1,Male,43,2,1.216666667,1,60,1
1,12,1,Male,43,2,1.216666667,1,60,1
1,1,1,Male,57,2,0.416666667,1,60,1
1,2,1,Male,57,2,0.416666667,1,60,0
1,3,1,Male,57,2,0.416666667,1,60,0
1,4,1,Male,57,2,0.416666667,1,60,0
1,5,1,Male,57,2,0.416666667,1,60,1
1,6,1,Male,57,2,0.416666667,1,60,0
1,7,1,Male,57,2,0.416666667,1,60,0
1,8,1,Male,57,2,0.416666667,1,60,1
1,9,1,Male,57,2,0.416666667,1,60,1
1,10,1,Male,57,2,0.416666667,1,60,1
1,11,1,Male,57,2,0.416666667,1,60,1
1,12,1,Male,57,2,0.416666667,1,60,0
1,1,1,Male,67,2,1.75,1,60,1
1,2,1,Male,67,2,1.75,1,60,1
1,3,1,Male,67,2,1.75,1,60,1
1,4,1,Male,67,2,1.75,1,60,1
1,5,1,Male,67,2,1.75,1,60,1
1,6,1,Male,67,2,1.75,1,60,1
1,7,1,Male,67,2,1.75,1,60,1
1,8,1,Male,67,2,1.75,1,60,1
1,9,1,Male,67,2,1.75,1,60,1
1,10,1,Male,67,2,1.75,1,60,1
1,11,1,Male,67,2,1.75,1,60,1
1,12,1,Male,67,2,1.75,1,60,1
1,1,1,Male,41,2,3.383333333,1,60,1
1,2,1,Male,41,2,3.383333333,1,60,1
1,3,1,Male,41,2,3.383333333,1,60,1
1,4,1,Male,41,2,3.383333333,1,60,1
1,5,1,Male,41,2,3.383333333,1,60,1
1,6,1,Male,41,2,3.383333333,1,60,1
1,7,1,Male,41,2,3.383333333,1,60,1
1,8,1,Male,41,2,3.383333333,1,60,1
1,9,1,Male,41,2,3.383333333,1,60,1
1,10,1,Male,41,2,3.383333333,1,60,1
1,11,1,Male,41,2,3.383333333,1,60,1
1,12,1,Male,41,2,3.383333333,1,60,1
1,1,1,Female,43,2,1.8,1,60,1
1,2,1,Female,43,2,1.8,1,60,1
1,3,1,Female,43,2,1.8,1,60,1
1,4,1,Female,43,2,1.8,1,60,1
1,5,1,Female,43,2,1.8,1,60,1
1,6,1,Female,43,2,1.8,1,60,1
1,7,1,Female,43,2,1.8,1,60,1
1,8,1,Female,43,2,1.8,1,60,1
1,9,1,Female,43,2,1.8,1,60,1
1,10,1,Female,43,2,1.8,1,60,1
1,11,1,Female,43,2,1.8,1,60,1
1,12,1,Female,43,2,1.8,1,60,1
1,1,1,Female,25,2,1.7,1,60,1
1,2,1,Female,25,2,1.7,1,60,1
1,3,1,Female,25,2,1.7,1,60,1
1,4,1,Female,25,2,1.7,1,60,1
1,5,1,Female,25,2,1.7,1,60,1
1,6,1,Female,25,2,1.7,1,60,1
1,7,1,Female,25,2,1.7,1,60,1
1,8,1,Female,25,2,1.7,1,60,1
1,9,1,Female,25,2,1.7,1,60,1
1,10,1,Female,25,2,1.7,1,60,1
1,11,1,Female,25,2,1.7,1,60,1
1,12,1,Female,25,2,1.7,1,60,1
1,1,1,Female,60,2,3.716666667,1,60,1
1,2,1,Female,60,2,3.716666667,1,60,1
1,3,1,Female,60,2,3.716666667,1,60,1
1,4,1,Female,60,2,3.716666667,1,60,1
1,5,1,Female,60,2,3.716666667,1,60,1
1,6,1,Female,60,2,3.716666667,1,60,1
1,7,1,Female,60,2,3.716666667,1,60,1
1,8,1,Female,60,2,3.716666667,1,60,1
1,9,1,Female,60,2,3.716666667,1,60,1
1,10,1,Female,60,2,3.716666667,1,60,1
1,11,1,Female,60,2,3.716666667,1,60,1
1,12,1,Female,60,2,3.716666667,1,60,1
1,1,1,Male,51,2,0.55,1,60,1
1,2,1,Male,51,2,0.55,1,60,1
1,3,1,Male,51,2,0.55,1,60,1
1,4,1,Male,51,2,0.55,1,60,1
1,5,1,Male,51,2,0.55,1,60,1
1,6,1,Male,51,2,0.55,1,60,1
1,7,1,Male,51,2,0.55,1,60,1
1,8,1,Male,51,2,0.55,1,60,1
1,9,1,Male,51,2,0.55,1,60,1
1,10,1,Male,51,2,0.55,1,60,1
1,11,1,Male,51,2,0.55,1,60,1
1,12,1,Male,51,2,0.55,1,60,1
1,1,1,Male,48,2,1,1,60,1
1,2,1,Male,48,2,1,1,60,1
1,3,1,Male,48,2,1,1,60,1
1,4,1,Male,48,2,1,1,60,1
1,5,1,Male,48,2,1,1,60,1
1,6,1,Male,48,2,1,1,60,1
1,7,1,Male,48,2,1,1,60,1
1,8,1,Male,48,2,1,1,60,1
1,9,1,Male,48,2,1,1,60,1
1,10,1,Male,48,2,1,1,60,1
1,11,1,Male,48,2,1,1,60,1
1,12,1,Male,48,2,1,1,60,1
1,1,1,Female,67,2,0.783333333,1,60,1
1,2,1,Female,67,2,0.783333333,1,60,1
1,3,1,Female,67,2,0.783333333,1,60,0
1,4,1,Female,67,2,0.783333333,1,60,1
1,5,1,Female,67,2,0.783333333,1,60,1
1,6,1,Female,67,2,0.783333333,1,60,0
1,7,1,Female,67,2,0.783333333,1,60,0
1,8,1,Female,67,2,0.783333333,1,60,1
1,9,1,Female,67,2,0.783333333,1,60,1
1,10,1,Female,67,2,0.783333333,1,60,1
1,11,1,Female,67,2,0.783333333,1,60,0
1,12,1,Female,67,2,0.783333333,1,60,1
1,1,1,Male,35,2,3.75,1,60,0
1,2,1,Male,35,2,3.75,1,60,1
1,3,1,Male,35,2,3.75,1,60,1
1,4,1,Male,35,2,3.75,1,60,1
1,5,1,Male,35,2,3.75,1,60,1
1,6,1,Male,35,2,3.75,1,60,1
1,7,1,Male,35,2,3.75,1,60,1
1,8,1,Male,35,2,3.75,1,60,1
1,9,1,Male,35,2,3.75,1,60,1
1,10,1,Male,35,2,3.75,1,60,1
1,11,1,Male,35,2,3.75,1,60,1
1,12,1,Male,35,2,3.75,1,60,1
1,1,1,Female,36,2,0.833333333,1,60,1
1,2,1,Female,36,2,0.833333333,1,60,1
1,3,1,Female,36,2,0.833333333,1,60,1
1,4,1,Female,36,2,0.833333333,1,60,1
1,5,1,Female,36,2,0.833333333,1,60,1
1,6,1,Female,36,2,0.833333333,1,60,1
1,7,1,Female,36,2,0.833333333,1,60,1
1,8,1,Female,36,2,0.833333333,1,60,1
1,9,1,Female,36,2,0.833333333,1,60,1
1,10,1,Female,36,2,0.833333333,1,60,1
1,11,1,Female,36,2,0.833333333,1,60,1
1,12,1,Female,36,2,0.833333333,1,60,1
1,1,1,Male,67,2,0.466666667,1,60,1
1,2,1,Male,67,2,0.466666667,1,60,1
1,3,1,Male,67,2,0.466666667,1,60,0
1,4,1,Male,67,2,0.466666667,1,60,1
1,5,1,Male,67,2,0.466666667,1,60,1
1,6,1,Male,67,2,0.466666667,1,60,1
1,7,1,Male,67,2,0.466666667,1,60,1
1,8,1,Male,67,2,0.466666667,1,60,1
1,9,1,Male,67,2,0.466666667,1,60,1
1,10,1,Male,67,2,0.466666667,1,60,1
1,11,1,Male,67,2,0.466666667,1,60,1
1,12,1,Male,67,2,0.466666667,1,60,1
3,1,3,Male,43,26,1.166666667,4,89,0
3,2,3,Male,43,26,1.166666667,4,89,1
3,3,4,Male,43,26,1.166666667,4,89,0
